PONT. CATALINA     A    5798 18 4 4 4.0 29.0 20 3700 214 42 231 2.73
PONT. FIREBIRD     A    4934 18 1 2 1.5 23.5  7 3470 198 42 231 3.08
PONT. GRAND PRIX   A    5222 19 3 3 2.0 28.5 16 3210 201 45 231 2.93
PONT. LE MANS      A    4723 19 3 3 3.5 28.0 17 3200 199 40 231 2.93
PONT. PHOENIX      A    4424 19 . . 3.5 27.0 13 3420 203 43 231 3.08
PONT. SUNBIRD      A    4172 24 2 2 2.0 25.0  7 2690 179 41 151 2.73
RENAULT LE CAR     E    3895 26 3 3 3.0 23.0 10 1830 142 34  79 3.72
SUBARU             J    3798 35 5 4 2.5 25.5 11 2050 164 36  97 3.81
TOYOTA CELICA      J    5899 18 5 5 2.5 22.0 14 2410 174 36 134 3.06
TOYOTA COROLLA     J    3748 31 5 5 3.0 24.5  9 2200 165 35  97 3.21
TOYOTA CORONA      J    5719 18 5 5 2.0 23.0 11 2670 175 36 134 3.05
VW RABBIT          E    4697 25 4 3 3.0 25.5 15 1930 155 35  89 3.78
VW RABBIT DIESEL   E    5397 41 5 4 3.0 25.5 15 2040 155 35  90 3.78
VW SCIROCCO        E    6850 25 4 3 2.0 23.5 16 1990 156 36  97 3.78
VW DASHER          E    7140 23 4 3 2.5 37.5 12 2160 172 36  97 3.74
VOLVO 260          E   11995 17 5 3 2.5 29.5 14 3170 193 37 163 2.98
